+-------------+--------------+--------------+-------------+--------------+
| Matrix Size | CPU Time (s) | GPU CUDA (s) | Correctness | Acceleration |
+-------------+--------------+--------------+-------------+--------------+
|   100x100   |   1.29805    |   0.57047    |     Yes     |   2.28096    |
|   200x200   |   10.37842   |   0.01563    |     Yes     |  663.23436   |
|   300x300   |   35.35782   |   0.02158    |     Yes     |  1647.51918  |
|   400x400   |   83.62423   |   0.03246    |     Yes     |  2576.56427  |
|   500x500   |   163.70377  |   0.04435    |     Yes     |  3697.68999  |
|   600x600   |   281.63577  |   0.07511    |     Yes     |  3745.75133  |
|   700x700   |   447.27207  |   0.11610    |     Yes     |  3842.13956  |
|   800x800   |   675.03381  |   0.14181    |     Yes     |  4755.91758  |
|   900x900   |   959.03934  |   0.19296    |     Yes     |  4977.79888  |
|  1000x1000  |  1310.25777  |   0.16758    |     Yes     |  7820.79884  |
|  1100x1100  |  1752.12545  |   0.22080    |     Yes     |  7934.16473  |
|  1200x1200  |  2268.87949  |   0.25219    |     Yes     |  8992.48739  |
|  1300x1300  |  2785.63353  |   0.28358    |     Yes     |  9826.80306  |
|  1400x1400  |  3302.38757  |   0.31497    |     Yes     |  10401.92731 |
|  1500x1500  |  3820.14161  |   0.34636    |     Yes     |  11056.33030 |
|  1600x1600  |  4336.89565  |   0.37775    |     Yes     |  11484.68866 |
|  1700x1700  |  4853.64969  |   0.40914    |     Yes     |  11800.46151 |
|  1800x1800  |  5370.40373  |   0.44053    |     Yes     |  12192.89098 |
|  1900x1900  |  5887.15777  |   0.47192    |     Yes     |  12475.86003 |
|  2000x2000  |  6403.91181  |   0.50331    |     Yes     |  12721.22281 |
+-------------+--------------+--------------+-------------+--------------+
